Date,Review
30 de junho de 2023,Amei. Tudo maravilhoso. Do atendimento à decoração. Comida incrível. Com certeza voltarei mais vezes
30 de junho de 2023,"Maravilhoso! Nota 10! Atendimento top! Pessoas incríveis, ambiente totalmente temático e agradável,"
30 de junho de 2023,"Ambiente muito divertido para curtir em grupo, fazer aniversário ou um happy hour! Garçons muito simpáticos e atenciosos, a Maria nos atendeu e foi muitooo legal conosco ! Recomendo a experiência !"
29 de junho de 2023,"Ótima comida , atendimento rápido ! Espaço confortável . Cozinha espetacular . Vale a pena conhecer !"
28 de junho de 2023,"Muito bom o atendimento!!!!  A bebida estava ótima, o ambiente super agradável. Recomendaria para mais pessoas."
26 de junho de 2023,Melhor atendimento! Procura o Matheus! Rodízio maravilhoso. Happy hour justo. Adoramos tudo e sempre voltaremos. Obrigada!
26 de junho de 2023,"Atendimento do Matheus foi excelente!
O rodízio tem um custo-benefício muito bom.
Vale muito a pena!"
25 de junho de 2023,Atendimento nota 1000! Primeira vez que viemos aqui e nos sentimos em casa. Clima familiar é ótimo ambiente! Parabéns!!
24 de junho de 2023,Quesadillas estavam gostosas e o suco de uva. Achei que estava vazio o restaurante. Uma pena. É super cool o ambiente.
24 de junho de 2023,"Muito bom, música ao vivo, comida bem servida e temperada. Ambiente com musica agradável e caracterizado."
24 de junho de 2023,"O rodízio é interessante, mas nada fora do normal, faltou um pouco de pimenta. O ambiente é legal, mas a música junina não foi muito agradável, apesar de entender que é a temática do mês nos restaurantes."
23 de junho de 2023,"Lugar incrível, atendimento também. Comida chegou muito rápido. Garçons muito animados e receptivos."
23 de junho de 2023,"Estava tudo otimo, mas a simpatia da Maria foi incrível... super atenciosa e de muita simpatia. Alem da comida muito bem feita, pois morei em Houston no Texas e a cozinha da Olegario nao deixou a desejar"
19 de junho de 2023,"Excelente atendimento, comida maravilhosa e ambiente lindo e instagramavel! Super recomendo! 😍😍😍😍"
19 de junho de 2023,Garçom Matheus muito atencioso e bem disposto pra atender. Comida boa e bom ambiente. Vou indicar pra amigos
19 de junho de 2023,"Lugar incrível e funcionários animados e prestativos, comida boa, cerveja extremamente gelada e drinks maravilhosos."
18 de junho de 2023,O garçom Mateus nos atendeu super bem e simpático e nós explicou bem o cardápio e foi nos dando as melhoras opções.Com certeza voltaremos
18 de junho de 2023,"Vim comemorar o meu aniversário e antes de chegar lá já curti o agendamento de reserva no site. Simples, prático e eficiente.

Na recepção foram bem simpáticos, o atendente da nossa mesa nos serviu muito bem a tequila com apresentação e tudo.

Atendimento e comida...Mais"
17 de junho de 2023,"Comida muito boa,  ambiente.bem legal,  destaque para o atendimento do Mateus, Emerson e Lucia. Ótimo para comemoração e trazer a família"
16 de junho de 2023,"Sensacional@
Conheci o Sr. Madruga, maravilhoso!
Matheus serve uma tequila sensacional!
Parabéns à todos pela esplêndida equipe de profissionais!!!

Superb!!"
16 de junho de 2023,"Comida maravilhosa, chega rápido! Ambiente legal, música animada! Vale muito a pena! Recomento e voltaria mil vezes!"
16 de junho de 2023,"Excelente lugar, linda decoração, comida muito boa e os mariachis são perfeitooos. Lugar super divertido para levar amigos e familiares."
16 de junho de 2023,"Restaurante incrível, comida maravilhosa. No futuro, eu com certeza vou voltar e divulgar aos amigos."
15 de junho de 2023,"Espetacular!! Divertido e comida boa.

Los Mariachis mandam muito! Só sonzeira!

Atendimento cortes e prestativo!! Recomendo muito!"
13 de junho de 2023,"Atendimento rápido, ambiente com temática mexicana, uma decoração bem bonita e artes bem elaborado, banheiro limpo."
12 de junho de 2023,"Esse lugar é para todos os momentos. Tudo é maravilhoso, da comida ao atendimento. E is músicos day maravilhosos!"
27 de maio de 2023,"Comida excelente, recomendo burrito Al Pastor e pollo crocante, picante ao ponto é muito saboroso conforme a comida mexicana, por fim couvert artístico excelente com trio de mariachi"
17 de maio de 2023,"Lugar ótimo, comida deliciosa, decoração linda e atendimento impecável! Drink Mojito e chilaquiles de camarão sensacional!"
4 de maio de 2023,"Local muito aconchegante, divertido, decoração super bonitinha. Marguerita tradicional com bom tamanho e muito boa!
Experimentei a quesadilla em um dia e voltei no outro pra comer o burrito, e estavam deliciosos! Vale muito a pena! Possuem couvert artístico com músicos tocando músicas mexicanas de...Mais"
4 de maio de 2023,Q tomo atendimento e ótima. O garçom foi muito bom apesar de não conseguir dar a dose de tequila de cortesia.
1 de maio de 2023,"Ótima experiência e atendimento.
Trio de músicos cantando músicas de mesa em mesa, atendimento agradável e amigável dos garçons, especialmente o Matheus."
1 de maio de 2023,"O guacamole barra sempre entrega um atendimento e comida de melhor qualidade! 
Sou fã desse restaurante (um dos meus favoritos) e sempre que tenho oportunidade vou degustar das delícias mexicanas lá! 
Dessa vez fui levar minha mãezinha pra conhecer e ela também ficou encantada! 
-...Mais"
29 de abril de 2023,"Local muito bonito, com ótimo atendimento e comidas saborosas.. Matheus e Lucia muito simpaticos no atendimento"
25 de abril de 2023,Uma delícia! Melhor restaurante mexicano que conheço. Várias opções e tudo muito gostoso. Parabéns a equipe!
